identifier	time_total_s	time_perevent_s
Reader:CsvParticleReader	0.02531	0.0002531
Algorithm:ParticleSelector	0.0004088	4.088e-06
Algorithm:FatrasAlgorithm	0.2144	0.002144
Writer:CsvParticleWriter	0.02648	0.0002648
Writer:CsvParticleWriter	0.01713	0.0001713
Writer:CsvSimHitWriter	0.2819	0.002819
Writer:CsvParticleWriter:endRun	6.9e-08	6.9e-10
Writer:CsvParticleWriter:endRun	1.9e-08	1.9e-10
Writer:CsvSimHitWriter:endRun	4.3e-08	4.3e-10
