identifier	time_total_s	time_perevent_s
Reader:CsvParticleReader	0.02298	0.0002298
Algorithm:ParticleSelector	0.0004281	4.281e-06
Algorithm:FatrasAlgorithm	0.2123	0.002123
Writer:CsvParticleWriter	0.01448	0.0001448
Writer:CsvParticleWriter	0.01519	0.0001519
Writer:CsvSimHitWriter	0.2301	0.002301
Writer:CsvParticleWriter:endRun	7.9e-08	7.9e-10
Writer:CsvParticleWriter:endRun	2.4e-08	2.4e-10
Writer:CsvSimHitWriter:endRun	5.3e-08	5.3e-10
