identifier	time_total_s	time_perevent_s
Reader:CsvParticleReader	0.02282	0.0002282
Algorithm:ParticleSelector	0.0004662	4.662e-06
Algorithm:FatrasAlgorithm	0.1691	0.001691
Writer:CsvParticleWriter	0.01645	0.0001645
Writer:CsvParticleWriter	0.01656	0.0001656
Writer:CsvSimHitWriter	0.2836	0.002836
Writer:CsvParticleWriter:endRun	1.45e-07	1.45e-09
Writer:CsvParticleWriter:endRun	2.1e-08	2.1e-10
Writer:CsvSimHitWriter:endRun	1.37e-07	1.37e-09
