particle_id,geometry_id,tx,ty,tz,tt,tpx,tpy,tpz,te,deltapx,deltapy,deltapz,deltae,index
4503599660924928,936748859932016652,33.1188049,-7.72765017,8.63259697,0.117045172,8.69002247,-2.01718402,2.26449895,9.20459938,0,0,0,0,1
4503599644147712,936748859932016679,-27.5812111,-18.9757061,-11.1674261,0.117731497,-6.13355255,-4.23202944,-2.48573446,7.85624456,0,0,0,0,1
4503600046800896,936748859932016679,-26.7854595,-19.6001873,-11.5020647,0.117179833,-6.96654081,-5.1100769,-2.99405837,9.14445877,0,0,0,0,1
4503599946137600,936748859932016694,-8.51319981,-30.8007851,3.73617101,0.107332401,-1.73716152,-6.32101631,0.766437531,6.60087633,0,0,0,0,0
4503599811919872,936748859932016707,-2.21469784,-32.4540253,-1.46202457,0.108624592,-0.572141409,-8.52735901,-0.384120047,8.55581093,0,0,0,0,0
4503599845474304,936748859932016707,6.43822479,-31.4106407,-14.1026649,0.116851509,1.4590956,-7.07072496,-3.17546368,7.88789225,0,0,0,0,0
4503599694479360,936748859932016708,2.48919511,-31.8868179,12.5397902,0.114606924,0.506801665,-6.3689723,2.50495338,6.86342573,0,0,0,0,0
4503599744811008,936748859932016708,4.51907778,-31.6420422,10.8843527,0.113405019,0.12995182,-0.842132151,0.290158123,0.906327426,0,0,0,0,0
4503599845474304,936748859932016721,6.74072218,-32.8760719,-14.7607994,0.122304656,1.45997429,-7.07054377,-3.17546368,7.88789225,0,0,0,0,1
4503599744811008,936748859932016722,4.87358952,-33.927063,11.6717596,0.121609084,0.131321877,-0.841919541,0.290158123,0.906327426,0,0,0,0,1
4503599761588224,936748859932016735,23.1786098,-22.2257442,-3.17517781,0.107662983,3.61375284,-3.45185471,-0.494126529,5.0229311,0,0,0,0,0
4503599895805952,936748859932016736,25.8828144,-18.7799664,15.0483942,0.117894359,7.73050308,-5.59722805,4.49128056,10.5485735,0,0,0,0,0
4503599996469248,936748859932016749,29.6012974,-12.8022375,-3.00614238,0.108053997,7.27237606,-3.13468909,-0.738152504,7.95422935,0,0,0,0,0
4503599660924928,936748859932016750,31.148428,-7.27013254,8.11913586,0.110083409,8.68974876,-2.01836562,2.26449895,9.20459938,0,0,0,0,0
4503599895805952,936748859932016750,27.5849495,-20.0122166,16.0372581,0.12564145,7.7312417,-5.59620762,4.49128056,10.5485735,0,0,0,0,1
4503599912583168,936748859932016750,30.6397686,-9.08895111,6.77130985,0.109035574,2.89882016,-0.849909365,0.640031755,3.08971024,0,0,0,0,0
4503599929360384,936748859932016750,28.6854782,-16.0768871,9.80898476,0.116105177,0.525162041,-0.283028156,0.177947,0.631449878,0,0,0,0,0
4503599795142656,936748859932016763,21.0447483,24.1054363,-13.7433462,0.116173245,5.80177784,6.66015863,-3.79359198,9.61357594,0,0,0,0,0
4503599962914816,936748859932016763,26.2373657,20.0303612,1.77191234,0.110273816,6.93273973,5.30510378,0.468600899,8.74286842,0,0,0,0,0
4503599711256576,936748859932016792,0.881873071,32.2933197,10.7381811,0.113603622,0.085102275,3.47114539,1.15414095,3.66050506,0,0,0,0,0
4503599862251520,936748859932016792,0.103968196,32.1995201,15.8143911,0.119730048,-0.000599467021,2.80401349,1.37714624,3.1257298,0,0,0,0,0
4503600013246464,936748859932016806,-19.19977,25.8627224,4.29914999,0.108451433,-1.94833422,2.60827017,0.434529752,3.28619218,0,0,0,0,0
4503599828697088,936748859932016819,-26.0036755,18.6259594,1.03153408,0.106762208,-5.68406296,4.05959558,0.22525847,6.98933411,0,0,0,0,0
4503599879028736,936748859932016819,-23.8303928,21.3952179,-9.23573303,0.111190021,-5.51890755,4.94203949,-2.13642907,7.71087456,0,0,0,0,0
4503600013246464,936748859932016820,-19.7482338,26.5968323,4.42145777,0.111536808,-1.94877434,2.60794139,0.434529752,3.28619218,0,0,0,0,1
4503599828697088,936748859932016833,-27.6448956,19.7979145,1.09657133,0.113493465,-5.68476582,4.05861139,0.22525847,6.98933411,0,0,0,0,1
4503599979692032,936748859932016833,-28.8894482,15.3476706,-9.00160408,0.113189466,-5.66107845,2.99637222,-1.76249158,6.6440649,0,0,0,0,0
4503599728033792,936748859932016834,-29.8971424,11.7443676,4.54529905,0.108219095,-8.56292915,3.35339308,1.30129766,9.28835487,0,0,0,0,0
4503600030023680,936748859932016834,-30.2335892,10.5414362,14.1353092,0.118584715,-0.516244531,0.169831455,0.239910647,0.60338378,0,0,0,0,0
4503599677702144,936748859932016847,-31.635952,-4.56967306,-12.6521845,0.114677913,-8.3167305,-1.21099699,-3.32666421,9.0394907,0,0,0,0,0
4503599644147712,936748859932016861,-26.4342785,-18.1844387,-10.7026281,0.112831406,-6.134027,-4.23134184,-2.48573446,7.85624456,0,0,0,0,0
4503599677702144,936748859932016861,-33.9115868,-4.90121841,-13.5624418,0.122928381,-8.31653214,-1.21236145,-3.32666421,9.0394907,0,0,0,0,1
4503600046800896,936748859932016861,-25.972847,-19.0041656,-11.152832,0.113621943,-6.96689796,-5.10959005,-2.99405837,9.14445877,0,0,0,0,0
4503600013246464,936748997370970166,-40.6218948,54.3454628,9.05598164,0.22844848,-1.96541202,2.59542584,0.434529752,3.28619218,0,0,0,0,2
4503599879028736,936748997370970179,-50.5446892,45.2475128,-19.5637379,0.235530049,-5.53320885,4.92602205,-2.13642907,7.71087456,0,0,0,0,1
4503599828697088,936748997370970193,-55.7304459,39.7867928,2.20828676,0.228554323,-5.69675064,4.04177189,0.22525847,6.98933411,0,0,0,0,2
4503599979692032,936748997370970193,-59.8450699,31.6674309,-18.6308403,0.234271005,-5.67086363,2.97781181,-1.76249158,6.6440649,0,0,0,0,1
4503599979692032,936748997370970207,-61.2339439,32.3966064,-19.0624809,0.239698634,-5.67130089,2.97697902,-1.76249158,6.6440649,0,0,0,0,2
4503599728033792,936748997370970208,-63.3576241,24.8029099,9.6279211,0.229231313,-8.57075882,3.33333063,1.30129766,9.28835487,0,0,0,0,1
4503600030023680,936748997370970208,-64.4093933,21.0421124,29.9192772,0.251000434,-0.522540569,0.149340168,0.239910647,0.60338378,0,0,0,0,1
4503600030023680,936748997370970222,-66.2447433,21.5645599,30.7616787,0.258067578,-0.522853851,0.148239717,0.239910647,0.60338378,0,0,0,0,2
4503599677702144,936748997370970249,-67.9868927,-9.91138458,-27.1952286,0.246494368,-8.31352806,-1.2327925,-3.32666421,9.0394907,0,0,0,0,2
4503599644147712,936748997370970277,-56.027298,-38.6614304,-22.7068176,0.239384398,-6.1217494,-4.24908543,-2.48573446,7.85624456,0,0,0,0,2
