identifier	time_total_s	time_perevent_s
Reader:CsvParticleReader	0.02366	0.0002366
Algorithm:ParticleSelector	0.0004389	4.389e-06
Algorithm:FatrasAlgorithm	0.1961	0.001961
Writer:CsvParticleWriter	0.01684	0.0001684
Writer:CsvParticleWriter	0.01686	0.0001686
Writer:CsvSimHitWriter	0.29	0.0029
Writer:CsvParticleWriter:endRun	7.2e-08	7.2e-10
Writer:CsvParticleWriter:endRun	2.1e-08	2.1e-10
Writer:CsvSimHitWriter:endRun	4.6e-08	4.6e-10
