identifier	time_total_s	time_perevent_s
Reader:CsvParticleReader	0.02149	0.0002149
Algorithm:ParticleSelector	0.0004488	4.488e-06
Algorithm:FatrasAlgorithm	0.1628	0.001628
Writer:CsvParticleWriter	0.01657	0.0001657
Writer:CsvParticleWriter	0.01557	0.0001557
Writer:CsvSimHitWriter	0.2521	0.002521
Writer:CsvParticleWriter:endRun	5.7e-08	5.7e-10
Writer:CsvParticleWriter:endRun	1.6e-08	1.6e-10
Writer:CsvSimHitWriter:endRun	3.9e-08	3.9e-10
